datetime,realised_variance,realised_volatility
2024-12-28 00:00:00.000 UTC,0.00000802163745158993,0.0028322495390748904
2024-12-28 13:00:00.000 UTC,0.00001280607345233076,0.0035785574541050418
2024-12-29 01:00:00.000 UTC,0.00000984257606351586,0.003137288010928525
2024-12-29 06:00:00.000 UTC,0.000009692933456715017,0.003113347628633047
2024-12-29 14:00:00.000 UTC,0.00006803070554163762,0.008248072838041479
2024-12-30 01:00:00.000 UTC,0.0000766092610513356,0.00875267165220629
2024-12-31 10:00:00.000 UTC,0.000013538702814066322,0.0036794976306645886
2024-12-31 20:00:00.000 UTC,0.00001934562064539869,0.004398365678908325
2024-12-31 22:00:00.000 UTC,0.000010974190036985595,0.003312731506926813
2025-01-01 17:00:00.000 UTC,0.000012114636714114087,0.0034806086700624773
2025-01-02 05:00:00.000 UTC,0.000010190470930723109,0.0031922517022821223
2025-01-03 00:00:00.000 UTC,0.000026695504034379878,0.005166769206610634
2025-01-03 03:00:00.000 UTC,0.000006407964621833479,0.002531395785299778
2025-01-03 12:00:00.000 UTC,0.000015094962844762412,0.0038852236544068366
2025-01-04 07:00:00.000 UTC,0.000006039830043453433,0.0024576065680766384
2025-01-05 09:00:00.000 UTC,0.000011045642239102647,0.003323498493922127
2025-01-05 14:00:00.000 UTC,0.00003420183659314072,0.005848233630177638
2025-01-05 19:00:00.000 UTC,0.000011697756712611185,0.003420198344045442
2025-01-05 22:00:00.000 UTC,0.000008985562289918416,0.0029975927491769816
2025-01-06 02:00:00.000 UTC,0.00007311406294529521,0.0085506761688942
2025-01-06 08:00:00.000 UTC,0.00001951513036849811,0.004417593277849163
2025-01-06 19:00:00.000 UTC,0.000009388029223465574,0.0030639891030265713
2025-01-06 22:00:00.000 UTC,0.00001184030437336175,0.0034409743348885573
2025-01-07 07:00:00.000 UTC,0.000005813893872445602,0.002411201748598736
2025-01-07 09:00:00.000 UTC,0.000005513868136243673,0.0023481627150271495
2025-01-08 02:00:00.000 UTC,0.00001187556802379038,0.003446094604590881
2025-01-08 13:00:00.000 UTC,0.000040413883959541165,0.006357191515090698
2025-01-08 23:00:00.000 UTC,0.000028654119656389317,0.005352954292387459
2025-01-09 09:00:00.000 UTC,0.00002389478555912742,0.00488822928667707
2025-01-09 20:00:00.000 UTC,0.00020286446981363835,0.014243049877524068
2025-01-11 15:00:00.000 UTC,0.000012825437456667212,0.003581261992184768
2025-01-11 23:00:00.000 UTC,0.000008124598416528472,0.002850368119476583
2025-01-12 03:00:00.000 UTC,0.000005343337580841592,0.0023115660450961795
2025-01-12 20:00:00.000 UTC,0.000009179946773165371,0.003029842697759303
2025-01-13 16:00:00.000 UTC,0.00006614478626211977,0.008132944501354954
2025-01-13 21:00:00.000 UTC,0.000044325522537838675,0.0066577415493422895
2025-01-14 04:00:00.000 UTC,0.000007927567731265078,0.0028155936729693577
2025-01-14 07:00:00.000 UTC,0.000007714801968238392,0.0027775532340962236
2025-01-14 17:00:00.000 UTC,0.00004886262700401875,0.006990180756176392
2025-01-15 17:00:00.000 UTC,0.000020683815978662932,0.004547946347381742
2025-01-17 03:00:00.000 UTC,0.00001899850370125042,0.00435872730292346
2025-01-17 10:00:00.000 UTC,0.00004775441165345261,0.006910456689210389
2025-01-17 15:00:00.000 UTC,0.00010166257210888634,0.01008278592993456
2025-01-17 17:00:00.000 UTC,0.00004128524166456446,0.006425359263462585
2025-01-18 01:00:00.000 UTC,0.00002449341305450579,0.004949082041601835
2025-01-18 16:00:00.000 UTC,0.00019968937591903683,0.014131149136536519
2025-01-18 21:00:00.000 UTC,0.000011907085455086793,0.00345066449471501
2025-01-20 09:00:00.000 UTC,0.00013215661218269798,0.01149593894306585
2025-01-20 10:00:00.000 UTC,0.00004068935841349709,0.006378821083358357
2025-01-20 18:00:00.000 UTC,0.00021982733840375125,0.014826575410517132
2025-01-20 21:00:00.000 UTC,0.00005463451779124952,0.007391516609685019
2025-01-21 00:00:00.000 UTC,0.00021844617464548993,0.014779924717179378
2025-01-21 04:00:00.000 UTC,0.00014124840034905988,0.01188479702599333
2025-01-23 00:00:00.000 UTC,0.00005754450414963066,0.007585809393178203
2025-01-23 07:00:00.000 UTC,0.00003143192672179307,0.005606418350586502
2025-05-12 00:00:00.000 UTC,0.00003767499733829358,0.006137996198947469
2025-05-13 02:00:00.000 UTC,0.00007300417389655905,0.00854424800064693
2025-05-13 07:00:00.000 UTC,0.00002864927702098681,0.005352501940306683
2025-05-14 06:00:00.000 UTC,0.000018120003626192865,0.004256759756692039
2025-05-14 18:00:00.000 UTC,0.00005256063345675761,0.007249871271737009
2025-05-15 11:00:00.000 UTC,0.000034448084501516833,0.005869249057717421
2025-05-15 14:00:00.000 UTC,0.0001178193553746663,0.010854462463644448
2025-05-16 00:00:00.000 UTC,0.00004730482272520407,0.006877850152860563
2025-05-16 07:00:00.000 UTC,0.00010678003060371694,0.010333442340465104
2025-05-17 01:00:00.000 UTC,0.0000988083872177031,0.009940240802802671
2025-05-19 00:00:00.000 UTC,0.0002537643159011209,0.0159299816666913
2025-05-19 04:00:00.000 UTC,0.00014780507167128413,0.01215751091594345
2025-05-19 08:00:00.000 UTC,0.000116541020377882,0.01079541663753104
2025-05-20 05:00:00.000 UTC,0.00001988329020659697,0.00445906831149703
2025-05-21 00:00:00.000 UTC,0.000039144527603016746,0.006256558766847535
2025-05-21 04:00:00.000 UTC,0.000051074556382013005,0.007146646513016647
2025-05-22 02:00:00.000 UTC,0.000036083462681737893,0.006006951196883315
