datetime1h,whale_net_usd,whale_net_usd_24h,whale_burst_flag,etow_usd_log,etow_coins_log,whale_txn_count_log,wtoe_usd_log,wtoe_coins_log
2024-11-04 08:00:00+00:00,137247624,119047863.0,1,0.0,0.0,-0.6065160746392584,18.73729733401476,7.601402334583733
2024-11-04 14:00:00+00:00,-53625145,65422718.0,1,17.79752865781947,6.665683717782408,-0.6065160746392584,0.0,0.0
2024-11-05 16:00:00+00:00,-104684670,-39261952.0,1,18.466463256334944,7.311886164077165,-0.6065160746392584,0.0,0.0
2024-11-05 18:00:00+00:00,-81636854,-120898806.0,1,18.217791372380947,7.065613363597717,-0.6065160746392584,0.0,0.0
2024-11-05 23:00:00+00:00,52331577,-68567229.0,1,0.0,0.0,-0.6065160746392584,17.773110532680672,6.620073206530356
2024-11-06 06:00:00+00:00,595044438,526477209.0,1,0.0,0.0,1.5974066643536267,20.2041466481159,8.978660489639687
2024-11-06 13:00:00+00:00,115681105,642158314.0,0,0.0,0.0,-0.6065160746392584,18.566347877186562,7.3537223303996315
2024-11-06 20:00:00+00:00,78476069,720634383.0,0,0.0,0.0,-0.6065160746392584,18.178304295514916,6.946013991099227
2024-11-06 21:00:00+00:00,57067987,777702370.0,0,0.0,0.0,-0.6065160746392584,17.85975388694136,6.6240652277998935
2024-11-06 22:00:00+00:00,-54478871,723223499.0,0,17.813323514745367,6.577861357721047,-0.6065160746392584,0.0,0.0
2024-11-07 08:00:00+00:00,50452061,773675560.0,0,0.0,0.0,-0.6065160746392584,17.736534176079292,6.51025834052315
2024-11-07 09:00:00+00:00,62630350,836305910.0,0,0.0,0.0,-0.6065160746392584,17.952760558828857,6.728628613084702
2024-11-07 11:00:00+00:00,52388627,888694537.0,0,0.0,0.0,-0.6065160746392584,17.77420010283763,6.551080335043404
2024-11-07 19:00:00+00:00,50748624,939443161.0,0,0.0,0.0,-0.6065160746392584,17.742395081923075,6.502790045915623
2024-11-08 02:00:00+00:00,-73715190,865727971.0,0,18.115719455322864,6.878326468291325,-0.6065160746392584,0.0,0.0
2024-11-08 08:00:00+00:00,55890409,921618380.0,0,0.0,0.0,-0.6065160746392584,17.838903367057227,6.602587892189336
2024-11-08 11:00:00+00:00,-56091851,865526529.0,0,17.84250111930277,6.602587892189336,-0.6065160746392584,0.0,0.0
2024-11-08 15:00:00+00:00,-190382346,675144183.0,0,19.064544960687073,7.828436359157585,-0.6065160746392584,0.0,0.0
2024-11-08 16:00:00+00:00,133652219,808796402.0,1,0.0,0.0,1.5974066643536267,18.710751610961193,7.469654172932128
2024-11-08 17:00:00+00:00,-190687692,618108710.0,0,19.066147532567822,7.829232537543592,-0.6065160746392584,0.0,0.0
2024-11-08 20:00:00+00:00,56588405,674697115.0,0,0.0,0.0,-0.6065160746392584,17.85131468120123,6.5998704992128365
2024-11-09 07:00:00+00:00,55930826,730627941.0,0,0.0,0.0,-0.6065160746392584,17.839626253028523,6.597145701886651
2024-11-11 20:00:00+00:00,-88043399,711060006.0,0,18.29334043268648,6.921658184151129,-0.6065160746392584,0.0,0.0
2024-11-12 01:00:00+00:00,89161405,749945708.0,0,0.0,0.0,-0.6065160746392584,18.305958835760926,6.90875477931522
2024-11-12 03:00:00+00:00,-87720276,524977808.0,0,18.289663639283713,6.90875477931522,-0.6065160746392584,0.0,0.0
2024-11-12 04:00:00+00:00,204945288,783548241.0,0,0.0,0.0,-0.6065160746392584,19.138253618556266,7.744136627627991
2024-11-12 08:00:00+00:00,-115513790,772719121.0,0,18.5649004833956,7.170888478512505,-0.6065160746392584,0.0,0.0
2024-11-12 09:00:00+00:00,104454154,958810129.0,0,0.0,0.0,-0.6065160746392584,18.4642588249746,7.072421900537371
2024-11-12 11:00:00+00:00,-102377081,804101471.0,0,18.444173436927052,7.072421900537371,-0.6065160746392584,0.0,0.0
2024-11-12 14:00:00+00:00,52183553,261240586.0,0,0.0,0.0,-0.6065160746392584,17.77027794574057,6.398594934535208
2024-11-12 16:00:00+00:00,-243135265,-97575784.0,1,19.681894668031354,8.319229938632326,1.7554240835584287,18.514490735400276,7.150701457592526
2024-11-12 17:00:00+00:00,480194941,304143088.0,1,0.0,0.0,1.5974066643536267,19.98970270858475,8.611411866655219
2024-11-12 18:00:00+00:00,188751481,435826582.0,1,0.0,0.0,1.7554240835584287,19.055941797718212,7.675081857716334
2024-11-13 01:00:00+00:00,141048931,631354384.0,0,0.0,0.0,-0.6065160746392584,18.76461742360056,7.3783837129967145
2024-11-13 03:00:00+00:00,52454389,633356712.0,0,0.0,0.0,-0.6065160746392584,17.775454588064758,6.396929655216146
2024-11-13 05:00:00+00:00,-96140442,474585920.0,0,18.381320628283007,7.00397413672268,-0.6065160746392584,0.0,0.0
2024-11-13 09:00:00+00:00,84028987,506226280.0,0,0.0,0.0,-0.6065160746392584,18.246672392514018,6.8679744089702925
2024-11-13 12:00:00+00:00,-314424636,141053020.0,0,19.566254977408477,8.182559264068665,1.5974066643536267,0.0,0.0
2024-11-13 15:00:00+00:00,56803760,271571970.0,0,0.0,0.0,-0.6065160746392584,17.85511309628801,6.434546518787453
2024-11-14 01:00:00+00:00,270751794,486433355.0,0,0.0,0.0,-0.6065160746392584,19.416713073555623,8.006700845440367
2024-11-14 03:00:00+00:00,-90157283,452367923.0,0,18.31706630301845,6.90875477931522,-0.6065160746392584,0.0,0.0
2024-11-14 06:00:00+00:00,173918618,816668887.0,0,0.0,0.0,1.5974066643536267,18.974098040873265,7.5678626054638825
