datetime,active_sending_addresses,active_receiving_addresses
2024-11-05 22:25:00.000 UTC,4496,6715
2024-11-05 22:26:00.000 UTC,3582,352
2024-11-05 22:40:00.000 UTC,5115,7043
2024-11-05 22:44:00.000 UTC,2665,2044
2024-11-05 22:55:00.000 UTC,4283,5200
2024-11-05 22:59:00.000 UTC,3572,2102
2024-11-05 23:33:00.000 UTC,5131,11252
2024-11-05 23:46:00.000 UTC,5939,8505
2024-11-06 00:06:00.000 UTC,5479,8876
2024-11-06 00:19:00.000 UTC,4767,5558
2024-11-06 00:25:00.000 UTC,3488,2634
2024-11-06 00:26:00.000 UTC,5501,621
2024-11-06 00:54:00.000 UTC,4869,8729
2024-11-06 01:12:00.000 UTC,4999,8982
2024-11-06 01:13:00.000 UTC,3619,2209
2024-11-06 01:18:00.000 UTC,2567,2726
2024-11-06 01:20:00.000 UTC,617,1454
2024-11-06 01:37:00.000 UTC,6276,6952
2024-11-06 01:43:00.000 UTC,3673,3651
2024-11-06 01:58:00.000 UTC,4040,6217
2024-11-06 02:09:00.000 UTC,3282,4804
2024-11-06 02:13:00.000 UTC,1001,1732
2024-11-06 02:31:00.000 UTC,4809,7393
2024-11-06 02:36:00.000 UTC,1921,2688
2024-11-06 02:37:00.000 UTC,903,999
2024-11-06 02:44:00.000 UTC,2996,3370
2024-11-06 03:23:00.000 UTC,3994,8747
2024-11-06 03:33:00.000 UTC,4977,7205
2024-11-06 04:01:00.000 UTC,5339,7161
2024-11-06 04:04:00.000 UTC,4082,6079
2024-11-06 04:37:00.000 UTC,4552,8048
2024-11-06 04:41:00.000 UTC,2966,9390
2024-11-06 05:04:00.000 UTC,4652,8103
2024-11-06 05:12:00.000 UTC,4236,6224
2024-11-06 05:18:00.000 UTC,4640,6406
2024-11-06 05:23:00.000 UTC,6269,5919
2024-11-06 05:51:00.000 UTC,5442,7677
2024-11-06 06:02:00.000 UTC,4943,6289
2024-11-06 06:08:00.000 UTC,12323,8970
2024-11-06 06:16:00.000 UTC,8000,3177
2024-11-06 06:18:00.000 UTC,6251,3498
2024-11-06 06:26:00.000 UTC,5915,4487
2024-11-06 06:50:00.000 UTC,10781,8750
2024-11-06 07:11:00.000 UTC,12030,8296
