whale_net_usd,whale_net_usd_24h,whale_burst_flag,etow_usd_log,etow_coins_log,whale_txn_count_log,wtoe_usd_log,wtoe_coins_log
89269929,89269929.0,0,17.946942437473275,10.135947570487687,1.7110187468232363,18.836340027768582,11.021918808236205
-32339685,56930244.0,0,17.291805702727817,9.489259158757807,-0.6699561271374759,0.0,0.0
-35714357,21215887.0,0,17.39106335076916,9.503457646917903,-0.6699561271374759,0.0,0.0
-36171792,-14955905.0,0,17.403790174167725,9.506139412529912,-0.6699561271374759,0.0,0.0
-23877104,-38833009.0,0,16.988430607983805,9.04699757378001,-0.6699561271374759,0.0,0.0
-27028889,-65861898.0,0,17.112416851926625,9.172949982757624,-0.6699561271374759,0.0,0.0
-75497607,-141359505.0,0,18.13961153159816,10.196567530049501,1.3882250210450386,0.0,0.0
-53245400,-194604905.0,0,17.79042199262685,9.836011387411213,-0.6699561271374759,0.0,0.0
31814,-194573091.0,0,16.893221955434807,8.934850340289763,1.3882250210450386,16.89468638053899,8.934850340289763
-53634172,-248207263.0,0,17.797696978858713,9.834673236535767,-0.6699561271374759,0.0,0.0
-38646860,-286854123.0,0,17.469976113658106,9.503233841478497,-0.6699561271374759,0.0,0.0
-54119011,-340973134.0,0,17.80669610537221,9.836599606994497,-0.6699561271374759,0.0,0.0
-39056728,-380029862.0,0,17.48052573694662,9.516058806914062,-0.6699561271374759,0.0,0.0
-28956877,-408986739.0,0,17.181318315803132,9.210340371976184,-0.6699561271374759,0.0,0.0
-29118378,-438105117.0,0,17.186880113534546,9.210440366976517,-0.6699561271374759,0.0,0.0
-426551,-438531668.0,0,17.183934647777914,9.210440366976517,1.3882250210450386,17.169133581065736,9.197761589769323
-40893443,-479425111.0,0,17.526480314766136,9.546884034617925,-0.6699561271374759,0.0,0.0
-54597633,-534022744.0,0,17.815501106442884,9.838308826511133,-0.6699561271374759,0.0,0.0
-95804303,-629827047.0,0,18.377818168863012,10.382419951415045,1.3882250210450386,0.0,0.0
-39774699,-669601746.0,0,17.498741589733534,9.51369892381297,-0.6699561271374759,0.0,0.0
29635343,-639966403.0,0,0.0,0.0,-0.6699561271374759,17.204478261032772,9.214133170214879
-56372085,-696338488.0,0,17.84748466487245,9.84977027003014,-0.6699561271374759,0.0,0.0
-80623900,-776962388.0,1,18.205305701979555,10.206070552676763,1.3882250210450386,0.0,0.0
-40816474,-817778862.0,0,17.524596356889113,9.504650430718184,-0.6699561271374759,0.0,0.0
-40458020,-947506811.0,0,17.51577547600144,9.48432911729596,-0.6699561271374759,0.0,0.0
-60012178,-975179304.0,0,17.910058082921378,9.84977027003014,-0.6699561271374759,0.0,0.0
-55577726,-995042673.0,1,17.83329308543661,9.770013301136158,1.3882250210450386,0.0,0.0
-41467175,-1000338056.0,0,17.540412732484008,9.475393326367602,-0.6699561271374759,0.0,0.0
-132212014,-1108672966.0,1,18.69991736627476,10.628036496235605,1.7110187468232363,0.0,0.0
-40620625,-1122264702.0,0,17.519786525125287,9.446755465483632,-0.6699561271374759,0.0,0.0
-37985443,-1084752538.0,0,17.452713591675682,9.382779928915687,-0.6699561271374759,0.0,0.0
-100393648,-1131900786.0,1,19.58524730111465,11.502875129116727,1.6435711312163936,19.209409485671202,11.127262984158243
-75006556,-1206939156.0,0,18.133086094345764,10.068874864289374,1.3882250210450386,0.0,0.0
-36887012,-1190191996.0,0,17.42337009584188,9.355652103136237,-0.6699561271374759,0.0,0.0
38520478,-1113024658.0,0,0.0,0.0,-0.6699561271374759,17.466700579915535,9.392745258631441
-35525707,-1094431354.0,0,17.38576716137587,9.33353098253138,-0.6699561271374759,0.0,0.0
15731190,-1039643436.0,0,17.56498437461331,9.495519314209846,1.3882250210450386,17.87990959517722,9.81230384711351
-95037606,-1105724165.0,0,18.369783234389562,10.302196556147285,1.3882250210450386,0.0,0.0
-280010,-1076885797.0,0,18.66275698349115,10.596634733096073,1.3882250210450386,18.660556495976703,10.596659732783579
