minute,total_reward,mint_reward,total_fee,transaction_count
2024-11-05 00:06:00.000 UTC,217446.29886521347,212030.06249999994,5416.236365213509,3813
2024-11-05 00:18:00.000 UTC,217949.3329630123,212392.95982142896,5556.37314158337,5497
2024-11-05 00:57:00.000 UTC,220116.55597577142,212656.62946428583,7459.9265114855925,3664
2024-11-05 00:58:00.000 UTC,216824.67286223834,212656.62946428562,4168.043397952714,4296
2024-11-05 01:04:00.000 UTC,216464.13409597118,212551.97321428574,3912.160881685444,4523
2024-11-05 01:09:00.000 UTC,215720.96954251247,212585.22321428577,3135.7463282267045,3721
2024-11-05 02:07:00.000 UTC,220528.89025119305,212368.15624999988,8160.734001193153,3119
2024-11-05 02:09:00.000 UTC,216535.04713428856,212368.15625000003,4166.8908842885085,3772
2024-11-05 02:12:00.000 UTC,215078.493189507,212412.34375,2666.14943950701,3086
2024-11-05 02:13:00.000 UTC,214083.5775615645,212412.3437500001,1671.2338115644197,3314
2024-11-05 02:27:00.000 UTC,215849.37966778586,212205.28124999997,3644.0984177859045,2770
2024-11-05 02:36:00.000 UTC,214896.8874209289,212388.51785714296,2508.3695637859173,4478
2024-11-05 02:47:00.000 UTC,215284.8248059794,212161.21428571435,3123.6105202651024,3018
2024-11-05 03:34:00.000 UTC,219361.68237372002,212740.62500000003,6621.057373719981,3180
2024-11-05 03:42:00.000 UTC,217100.5288469141,212573.64285714287,4526.885989771237,2440
2024-11-05 03:53:00.000 UTC,216188.8923846402,212641.59375,3547.298634640217,2762
2024-11-05 04:06:00.000 UTC,216862.1302453783,213229.41071428568,3632.719531092596,2452
2024-11-05 04:15:00.000 UTC,216000.06496402086,213515.55357142855,2484.5113925922933,1960
2024-11-05 04:35:00.000 UTC,431986.64046421624,427124.3214285715,4862.319035644817,8489
2024-11-05 04:36:00.000 UTC,214963.9417332794,213562.16071428568,1401.7810189937238,1517
2024-11-05 04:40:00.000 UTC,215309.0099581388,213671.29910714278,1637.7108509960233,4970
2024-11-05 04:49:00.000 UTC,216342.04900493688,213796.8660714285,2545.1829335083644,3326
2024-11-05 04:57:00.000 UTC,215568.92355184257,213495.705357143,2073.218194699582,4481
2024-11-05 05:06:00.000 UTC,215462.70487793232,213472.94642857148,1989.7584493608213,4915
2024-11-05 05:13:00.000 UTC,215417.78491214575,213613.55357142852,1804.2313407172278,6247
2024-11-05 05:14:00.000 UTC,214705.91928288658,213613.5535714287,1092.3657114578718,6935
2024-11-05 05:15:00.000 UTC,214892.93541750943,213686.4732142857,1206.4622032237219,7208
2024-11-05 05:17:00.000 UTC,214998.68663076387,213686.47321428577,1312.2134164781116,3483
2024-11-05 05:20:00.000 UTC,214911.48097559655,213631.6428571429,1279.8381184536618,2825
2024-11-05 05:38:00.000 UTC,216869.57632965528,213772.0669642857,3097.509365369548,3646
2024-11-05 05:40:00.000 UTC,215248.21495602693,214101.236607143,1146.9783488839348,6744
2024-11-05 05:47:00.000 UTC,216015.1792849715,213962.12946428586,2053.049820685664,5885
2024-11-05 06:05:00.000 UTC,218703.27602100663,214574.85714285713,4128.418878149516,2529
2024-11-05 06:13:00.000 UTC,217262.33482782642,214447.62500000003,2814.7098278264,2117
2024-11-05 06:14:00.000 UTC,215677.56207544965,214447.62500000017,1229.9370754494732,5715
2024-11-05 06:32:00.000 UTC,217808.04574297785,214281.58928571432,3526.4564572635354,1824
2024-11-05 06:38:00.000 UTC,217079.36641479234,214484.76785714284,2594.5985576494913,2874
2024-11-05 06:48:00.000 UTC,217234.72044889824,214563.06696428577,2671.6534846124737,2322
2024-11-05 06:51:00.000 UTC,216579.11330553863,214676.74553571414,1902.3677698244612,5165
2024-11-05 07:06:00.000 UTC,217957.63522923572,214818.42857142864,3139.2066578070785,2350
2024-11-05 07:08:00.000 UTC,216284.05600009926,214818.4285714286,1465.6274286706573,6458
2024-11-05 07:09:00.000 UTC,215843.74971310084,214818.42857142867,1025.3211416721688,3688
2024-11-05 07:10:00.000 UTC,215968.03409867594,214805.84375000003,1162.1903486759152,3276
2024-11-05 07:12:00.000 UTC,216346.40582836315,214805.8437500001,1540.5620783630413,4869
2024-11-05 07:19:00.000 UTC,216792.93889351425,214736.3705357144,2056.568357799847,4228
2024-11-05 07:20:00.000 UTC,215631.57987459138,214520.61160714284,1110.9682674485439,4627
2024-11-05 07:32:00.000 UTC,217265.9059866601,214262.89732142858,3003.008665231517,2029
2024-11-05 07:52:00.000 UTC,219611.25774052384,215231.90625000003,4379.351490523815,2760
2024-11-05 07:54:00.000 UTC,217079.41698620818,215231.90625,1847.510736208184,1602
2024-11-05 07:57:00.000 UTC,216703.1811051825,215160.78125,1542.3998551825005,3299
2024-11-05 08:09:00.000 UTC,218364.19325210684,215389.9910714286,2974.202180678238,2623
2024-11-05 08:11:00.000 UTC,216806.95482991516,215406.25446428565,1400.7003656295158,5222
2024-11-05 08:46:00.000 UTC,220293.59309138922,214959.78125000006,5333.811841389184,2691
2024-11-05 08:58:00.000 UTC,218941.95394818325,215205.6830357143,3736.270912468962,3749
2024-11-05 09:06:00.000 UTC,218422.7668241113,215674.25892857145,2748.507895539866,2573
2024-11-05 09:13:00.000 UTC,218013.72865631676,215363.3705357143,2650.358120602491,2430
2024-11-05 09:51:00.000 UTC,221125.795567422,215018.7544642857,6107.0411031362755,3371
2024-11-05 09:55:00.000 UTC,217702.96075127056,214946.21874999994,2756.742001270609,4311
2024-11-05 10:03:00.000 UTC,217873.24716650537,214909.66964285713,2963.5775236482473,3409
