datetime,exchange_netflow_usd
2024-11-05 17:22:00.000 UTC,-8210853.166287705
2024-11-05 17:43:00.000 UTC,20635053.02335912
2024-11-05 17:44:00.000 UTC,-5641745.089573975
2024-11-05 17:52:00.000 UTC,7595124.678480625
2024-11-05 17:57:00.000 UTC,9604287.803407744
2024-11-05 18:14:00.000 UTC,-2752851.1310541034
2024-11-05 18:20:00.000 UTC,9108510.163661309
2024-11-05 18:59:00.000 UTC,16455789.068866
2024-11-05 19:16:00.000 UTC,9939631.418983072
2024-11-05 19:17:00.000 UTC,-36107459.11730535
2024-11-05 19:46:00.000 UTC,17932312.729792953
2024-11-05 19:53:00.000 UTC,5193485.212176412
2024-11-05 19:57:00.000 UTC,2485020.0559551474
2024-11-05 20:01:00.000 UTC,9223.70706363488
2024-11-05 20:11:00.000 UTC,-596070.6959586106
2024-11-05 20:14:00.000 UTC,826624.8530073855
2024-11-05 20:38:00.000 UTC,-22517523.233367868
2024-11-05 20:54:00.000 UTC,565093.2700715959
2024-11-05 21:00:00.000 UTC,2117498.723852152
2024-11-05 21:24:00.000 UTC,-18590606.39130331
2024-11-05 21:42:00.000 UTC,-44359167.32781914
2024-11-05 21:46:00.000 UTC,-6809323.651015375
2024-11-05 21:51:00.000 UTC,6485968.5659001935
2024-11-05 21:56:00.000 UTC,20832012.63340698
2024-11-05 22:12:00.000 UTC,9064877.162235927
2024-11-05 22:25:00.000 UTC,2958476.3753464185
2024-11-05 22:40:00.000 UTC,-16042807.817886867
2024-11-05 22:44:00.000 UTC,31668.884514713893
2024-11-05 22:55:00.000 UTC,27715311.097679287
2024-11-05 22:59:00.000 UTC,416101.1417267909
2024-11-05 23:33:00.000 UTC,12172518.53456403
2024-11-05 23:46:00.000 UTC,304352.88569539227
2024-11-06 00:06:00.000 UTC,-17574799.7507611
2024-11-06 00:19:00.000 UTC,13495867.55388087
2024-11-06 00:25:00.000 UTC,-249744.65947807627
2024-11-06 00:26:00.000 UTC,39718.06119002402
2024-11-06 00:54:00.000 UTC,111138.20719015598
2024-11-06 01:12:00.000 UTC,22406461.085817955
2024-11-06 01:13:00.000 UTC,7608887.304249406
2024-11-06 01:18:00.000 UTC,3066286.0084830057
2024-11-06 01:20:00.000 UTC,2439406.573796368
2024-11-06 01:37:00.000 UTC,26254982.131530076
2024-11-06 01:43:00.000 UTC,12950836.05694601
2024-11-06 01:58:00.000 UTC,14726301.659384698
2024-11-06 02:09:00.000 UTC,14270870.999285314
